Start_date,Start_station_number
2016-07-01 08:27:00 UTC,31000
2016-07-01 09:28:00 UTC,31000
2016-07-04 08:26:00 UTC,31000
2016-07-05 07:48:00 UTC,31000
2016-07-05 07:55:00 UTC,31000
2016-07-05 08:15:00 UTC,31000
2016-07-05 09:23:00 UTC,31000
2016-07-06 07:45:00 UTC,31000
2016-07-06 07:55:00 UTC,31000
2016-07-07 07:53:00 UTC,31000
2016-07-07 08:50:00 UTC,31000
2016-07-07 09:24:00 UTC,31000
2016-07-08 07:51:00 UTC,31000
2016-07-08 09:28:00 UTC,31000
2016-07-11 07:55:00 UTC,31000
2016-07-11 09:28:00 UTC,31000
2016-07-12 08:51:00 UTC,31000
2016-07-13 07:39:00 UTC,31000
2016-07-13 08:22:00 UTC,31000
2016-07-13 08:30:00 UTC,31000
2016-07-14 08:27:00 UTC,31000
2016-07-14 08:52:00 UTC,31000
2016-07-14 09:19:00 UTC,31000
2016-07-15 07:41:00 UTC,31000
2016-07-15 08:38:00 UTC,31000
2016-07-15 08:56:00 UTC,31000
2016-07-15 09:01:00 UTC,31000
2016-07-18 07:36:00 UTC,31000
2016-07-18 08:18:00 UTC,31000
2016-07-18 08:34:00 UTC,31000
2016-07-18 08:40:00 UTC,31000
2016-07-18 08:59:00 UTC,31000
2016-07-19 08:25:00 UTC,31000
2016-07-19 08:36:00 UTC,31000
2016-07-19 09:10:00 UTC,31000
2016-07-20 09:05:00 UTC,31000
2016-07-22 09:30:00 UTC,31000
2016-07-25 09:09:00 UTC,31000
2016-07-26 09:10:00 UTC,31000
2016-07-27 09:02:00 UTC,31000
2016-07-28 08:04:00 UTC,31000
2016-07-28 08:15:00 UTC,31000
2016-08-03 08:57:00 UTC,31000
2016-08-04 07:42:00 UTC,31000
2016-08-04 07:42:00 UTC,31000
2016-08-04 09:13:00 UTC,31000
2016-08-05 08:50:00 UTC,31000
2016-08-08 08:53:00 UTC,31000
2016-08-09 07:33:00 UTC,31000
2016-08-09 09:09:00 UTC,31000
2016-08-10 07:31:00 UTC,31000
2016-08-10 08:56:00 UTC,31000
2016-08-11 07:48:00 UTC,31000
2016-08-11 07:49:00 UTC,31000
2016-08-11 08:50:00 UTC,31000
2016-08-12 07:47:00 UTC,31000
2016-08-12 08:50:00 UTC,31000
2016-08-15 07:51:00 UTC,31000
2016-08-15 08:52:00 UTC,31000
2016-08-15 08:59:00 UTC,31000
2016-08-15 09:04:00 UTC,31000
2016-08-15 09:06:00 UTC,31000
2016-08-16 07:53:00 UTC,31000
2016-08-16 09:04:00 UTC,31000
2016-08-17 09:00:00 UTC,31000
2016-08-18 07:54:00 UTC,31000
2016-08-18 09:07:00 UTC,31000
2016-08-22 07:48:00 UTC,31000
2016-08-22 08:51:00 UTC,31000
2016-08-23 07:39:00 UTC,31000
2016-08-24 08:01:00 UTC,31000
2016-08-24 08:07:00 UTC,31000
2016-08-24 08:12:00 UTC,31000
2016-08-24 08:42:00 UTC,31000
2016-08-24 08:42:00 UTC,31000
2016-08-24 09:20:00 UTC,31000
2016-08-25 07:48:00 UTC,31000
2016-08-25 07:50:00 UTC,31000
2016-08-25 07:54:00 UTC,31000
2016-08-25 09:20:00 UTC,31000
2016-08-26 09:11:00 UTC,31000
2016-08-29 08:19:00 UTC,31000
2016-08-29 08:23:00 UTC,31000
2016-08-29 08:23:00 UTC,31000
2016-08-29 08:56:00 UTC,31000
2016-08-30 08:39:00 UTC,31000
2016-08-31 09:05:00 UTC,31000
2016-07-01 08:03:00 UTC,31001
2016-07-01 08:04:00 UTC,31001
2016-07-01 09:12:00 UTC,31001
2016-07-04 09:00:00 UTC,31001
2016-07-04 09:00:00 UTC,31001
2016-07-05 09:08:00 UTC,31001
2016-07-06 08:27:00 UTC,31001
2016-07-06 09:05:00 UTC,31001
2016-07-07 09:11:00 UTC,31001
2016-07-08 09:12:00 UTC,31001
2016-07-11 08:14:00 UTC,31001
2016-07-11 08:23:00 UTC,31001
2016-07-11 08:37:00 UTC,31001
2016-07-11 09:03:00 UTC,31001
2016-07-12 07:47:00 UTC,31001
2016-07-12 08:15:00 UTC,31001
2016-07-12 08:17:00 UTC,31001
2016-07-12 08:23:00 UTC,31001
2016-07-12 09:01:00 UTC,31001
2016-07-13 08:58:00 UTC,31001
2016-07-14 08:02:00 UTC,31001
2016-07-14 08:12:00 UTC,31001
2016-07-14 08:37:00 UTC,31001
2016-07-14 08:59:00 UTC,31001
2016-07-14 09:15:00 UTC,31001
2016-07-15 08:07:00 UTC,31001
2016-07-15 08:08:00 UTC,31001
2016-07-15 08:35:00 UTC,31001
2016-07-15 08:44:00 UTC,31001
